name,style,abv,ibu,brewer_name,tipo
Porcine Unidragon,American-Style Imperial Stout,12.5,60.0,Clown Shoes Beer,Stout
Port Barrel Aged Dark Lord,American-Style Imperial Stout,15.0,60.0,Three Floyds Brewing Company,Stout
Port Wine Barrel-aged Blond Ale (Brew #6),Wood- and Barrel-Aged Beer,12.0,60.0,Brouwerij Hof ten Dormaal,Stout
Portuguese Brandy Barrel Aged Dark Lord,American-Style Imperial Stout,15.0,60.0,Three Floyds Brewing Company,Stout
Poterie,Wood- and Barrel-Aged Beer,16.8,60.0,The Bruery,Stout
Potteries,Wood- and Barrel-Aged Beer,16.8,60.0,The Bruery,Stout
Poulsbo Abbey Firkin Hammer,Belgian-Style Quadrupel,14.0,25.0,Valhöll Brewing,Trappist
Power Plant,Imperial or Double India Pale Ale,11.3,90.0,El Segundo Brewing Company,India Pale Ale
Pretty Willie's,American-Style Imperial Stout,13.0,75.0,Against The Grain Brewery,Stout
prinSIPia,Belgian-Style Quadrupel,11.5,25.0,Brewmaster Jack,Trappist
Proprietor's Bourbon County Brand Stout,American-Style Imperial Stout,14.1,60.0,Goose Island Beer Company,Stout
Proprietor's Bourbon County Brand Stout (2014),American-Style Imperial Stout,13.2,60.0,Goose Island Beer Company,Stout
Proprietor’s Bourbon County Brand Stout,American-Style Imperial Stout,14.1,60.0,Goose Island Beer Company,Stout
