name,style,abv,ibu,brewer_name,tipo
Razor Back,American-Style Amber Lager,3.6,500.0,Ringwood Brewery,Ale
Renegade Black DIPA,Imperial or Double India Pale Ale,9.4,120.0,Pigeon Hill Brewing Company,India Pale Ale
Resurgens Rye,Imperial or Double India Pale Ale,9.2,112.0,Max Lager's Wood-Fired Grill & Brewery,India Pale Ale
Revelry,Imperial Red Ale,9.9,122.0,Two Brothers Brewing Company,Ale
Rhode Island IPA,American-Style India Pale Ale,7.0,120.0,Trinity Brewhouse,India Pale Ale
Riddance,American-Style Amber/Red Ale,5.8,150.0,Angry Chair Brewing,Ale
Rockin’ Chakra IPA,American-Style India Pale Ale,6.3,111.0,Moccasin Bend Brewing Company,India Pale Ale
Rollin’ Rosie,Imperial or Double India Pale Ale,9.3,140.0,Geaghan Brothers Brewing,India Pale Ale
Rye Cubed,Imperial or Double India Pale Ale,10.7,125.0,Terrapin Beer Company,India Pale Ale
Rye da Tiger,Imperial or Double India Pale Ale,9.0,120.0,Three Floyds Brewing Company,India Pale Ale
Rye Hammer,Imperial or Double India Pale Ale,7.2,250.0,BrewDog,India Pale Ale
Ryelander,Imperial or Double India Pale Ale,8.9,225.0,Dragoon Brewing Company,India Pale Ale
S.N.A.F.U,Imperial or Double India Pale Ale,11.1,127.0,Tap It Brewing Co,India Pale Ale
SAFEWORD,Imperial or Double India Pale Ale,10.1,130.0,Free Will Brewing Company,India Pale Ale
Screeching Otter DIPA,Imperial or Double India Pale Ale,9.2,155.0,Odd Otter Brewing Company,India Pale Ale
Seeing Double IPA,Imperial or Double India Pale Ale,9.5,126.0,Foothills Brewing Company,India Pale Ale
Shot Tower I2PA,Imperial or Double India Pale Ale,10.5,130.0,River Company Brewery,India Pale Ale
Simtra 3x IPA,Imperial or Double India Pale Ale,11.3,131.0,Knee Deep Brewing Company,India Pale Ale
Size 11,Imperial or Double India Pale Ale,11.0,111.0,Steel Toe Brewing,India Pale Ale
Slamnesia,Imperial or Double India Pale Ale,11.2,125.0,Austin Brothers Beer Co.,India Pale Ale
Sleep Walker,Imperial or Double India Pale Ale,11.5,135.0,LTD Brewing Co.,India Pale Ale
Small Green Everything,Imperial or Double India Pale Ale,10.5,120.0,Other Half Brewing Company,India Pale Ale
Softly Spoken Magic Spells,Imperial or Double India Pale Ale,8.6,130.0,Singlecut Beersmiths,India Pale Ale
Speedy The 3 Legged Cat,Imperial or Double India Pale Ale,9.7,117.0,Metazoa Brewing Co.,India Pale Ale
Squatch Double IPA,Imperial Red Ale,7.5,122.0,Salty Nut Brewery,Ale
Statik,American-Style Barley Wine Ale,13.0,430.0,Brewery Rickoli,Ale
Straight Outta Hopton,American-Style India Pale Ale,11.3,134.0,Southerleigh Fine Food and Brewery,India Pale Ale
Swagger,American-Style India Pale Ale,7.9,180.0,Fetch Brewing,India Pale Ale
Swat Team Series 10-66,Imperial or Double India Pale Ale,9.5,161.0,Municipal Brew Works,India Pale Ale
Tahoe Cross,American-Style India Pale Ale,7.8,120.0,Cold Water Brewery,India Pale Ale
Tell Shaky And Boxcar Joe,Imperial or Double India Pale Ale,9.0,145.0,Singlecut Beersmiths,India Pale Ale
The Big Nasty,Imperial or Double India Pale Ale,10.5,160.0,Stoudts Brewery,India Pale Ale
The Bitter Truth Imperial IPA,Imperial or Double India Pale Ale,8.0,115.0,Backside Brewing Co.,India Pale Ale
The Heavy Weight 2x IPA,American-Style India Pale Ale,9.5,130.0,Bandwagon Brew Pub,India Pale Ale
